,qID,sentence,option1,option2,answer,slot_question,slot_answer,pred_answer
27,3OPLMF3EU711TMJ1TRB3J1KNOGWLNV-1,The portions of food today were bigger than the sizes yesterday because the _ fed more people.,portions,sizes,1,"The portions of food today were bigger than the () yesterday because the _ fed more people.
option1: portions
option2: ()",sizes,yesterday
28,3X52SWXE0ZJYDCY98F9RC17RMGWCW0-1,"Since Craig threw aluminum cans in the trash and Benjamin recycled, _ was environmentally irresponsible.",Craig,Benjamin,1,"Since Craig threw aluminum cans in the trash and () recycled, _ was environmentally irresponsible.
option1: Craig
option2: ()",Benjamin,"(option1) 
(option2) Craig"
29,3511RHPADVC7EVCM20GK0N1OUZVRLR-1,"Christine was going to Jessica's house to do some cleaning in the kitchen, because _ was a energetic person.",Christine,Jessica,1,"Christine was going to ()'s house to do some cleaning in the kitchen, because _ was a energetic person.
option1: Christine
option2: ()",Jessica,()
30,32ZCLEW0B1YV1H7E6LCI7BCQJA5JP7-1,"The students were at their desks taking tests with pencils, they used the _ to hold the papers.",desks,pencils,1,"The students were at their desks taking tests with (), they used the _ to hold the papers.
option1: desks
option2: ()",pencils,clips
31,3XQ4XW3ODBQS8DPYRHAK3ZVJ39CS28-1,Mary thought poodles were a cool dog but Rachel thought Great Danes were cooler. _ bought a small dog bed for their pet.,Mary,Rachel,1,"Mary thought poodles were a cool dog but () thought Great Danes were cooler. _ bought a small dog bed for their pet.
option1: Mary
option2: ()",Rachel,()
32,3XQ4XW3ODBQS8DPYRHAK3ZVJ39CS28-2,Mary thought poodles were a cool dog but Rachel thought Great Danes were cooler. _ bought a gigantic dog bed for their pet.,Mary,Rachel,2,"() thought poodles were a cool dog but Rachel thought Great Danes were cooler. _ bought a gigantic dog bed for their pet.
option1: ()
option2: Rachel",Mary,(They)
33,391JB9X4Z0MKRYGJWQK2RMI8TNRKMU-1,"Leslie had a lot of issues that Kyle was tired of dealing with, so _ felt abandoned when they finally moved out.",Leslie,Kyle,1,"Leslie had a lot of issues that () was tired of dealing with, so _ felt abandoned when they finally moved out.
option1: Leslie
option2: ()",Kyle,they
34,309D674SHZJRVK1RTQ1VXP6XI2MCBN-2,"Jessica enjoyed a simple, basic life with Betty, but _ was bored having a quiet existence.",Jessica,Betty,2,"() enjoyed a simple, basic life with Betty, but _ was bored having a quiet existence.
option1: ()
option2: Betty",Jessica,Irene
35,3D1TUISJWIYX4MWXLRECDIWGP9EIUG-2,I wanted to build a bathroom on the third floor of the house but I couldn't because the _ would be too full.,bathroom,floor,2,"I wanted to build a () on the third floor of the house but I couldn't because the _ would be too full.
option1: ()
option2: floor",bathroom,room
36,3U18MJKL1W08QIPVGEI4GIUZS1HNC0-2,Joel researched laws and helped to open a preschool for Eric. Because _ is very good with kids.,Joel,Eric,2,"() researched laws and helped to open a preschool for Eric. Because _ is very good with kids.
option1: ()
option2: Eric",Joel,Olivia
37,3TL87MO8CO3P5U6KV3SQBWBELMKLFR-1,"Tanya told Emily she couldn't come to work because her cat had an infection, but _ was lying.",Tanya,Emily,1,"Tanya told () she couldn't come to work because her cat had an infection, but _ was lying.
option1: Tanya
option2: ()",Emily,her boss
38,3VADEH0UHEBO0KQ4TFLWZC3CELTSPO-2,"Angela thinks her husband might be cheating with Lindsey, and _ confesses at the dinner party.",Angela,Lindsey,2,"() thinks her husband might be cheating with Lindsey, and _ confesses at the dinner party.
option1: ()
option2: Lindsey",Angela,Sheila
39,3VDVA3ILIFTITNYBDDGP922CP4W1G0-2,"Donald's understanding of math isn't as good as Joseph's, so _ is more likely a professor.",Donald,Joseph,2,"()'s understanding of math isn't as good as Joseph's, so _ is more likely a professor.
option1: ()
option2: Joseph",Donald,Ian
40,3G3AJKPCXLQKDOHNA39XM2SABXEY40-1,Brian was jealous of Brett's new car because _ couldn't afford to buy a new car.,Brian,Brett,1,"Brian was jealous of ()'s new car because _ couldn't afford to buy a new car.
option1: Brian
option2: ()",Brett,"Brian
Ian"
41,31MCUE39BKKZ91DJGJI85XT0XI6G3G-1,The man used  his eyes to read the letters but the _ were too small.,letters,eyes,1,"The man used  his () to read the letters but the _ were too small.
option1: letters
option2: ()",eyes,eyes
42,3BDORL6HKKBEBRIGPNNLX4B155QCR4-2,Jill was on a budget so she only bought a new dress for the ceremony and wore an old hat. She figured the _ would be less noticeable.,dress,hat,2,"Jill was on a budget so she only bought a new () for the ceremony and wore an old hat. She figured the _ would be less noticeable.
option1: ()
option2: hat",dress,dress
43,3BDORL6HKKBEBRIGPNNLX4B155QCR4-1,Jill was on a budget so she only bought a new dress for the ceremony and wore an old hat. She figured the _ would be more noticeable.,dress,hat,1,"Jill was on a budget so she only bought a new dress for the ceremony and wore an old (). She figured the _ would be more noticeable.
option1: dress
option2: ()",hat,Dress.
44,33K3E8REWY9BQ9DM18P8CYPE4Q98X6-2,"On Monday, Patricia made Felicia eggs for an early breakfast, but _ does not like fried eggs.",Patricia,Felicia,2,"On Monday, () made Felicia eggs for an early breakfast, but _ does not like fried eggs.
option1: ()
option2: Felicia",Patricia,You
45,3ZXNP4Z39RJXWCS7TMIEV6AOTQXL7O-1,"Since Craig wears clear contacts and William wears colored ones, it is safe to assume that _ loves the color of their eyes.",Craig,William,1,"Since Craig wears clear contacts and () wears colored ones, it is safe to assume that _ loves the color of their eyes.
option1: Craig
option2: ()",William,Ian
46,3ZXNP4Z39RJXWCS7TMIEV6AOTQXL7O-2,"Since Craig wears clear contacts and William wears colored ones, it is safe to assume that _ dislikes the color of their eyes.",Craig,William,2,"Since () wears clear contacts and William wears colored ones, it is safe to assume that _ dislikes the color of their eyes.
option1: ()
option2: William",Craig,Ian
47,3HJ1EVZS2OHQYRMXWUCK4177UCAR3H-2,It was easy for Angela to become a vegetarian although Kayla couldn't do it. _ really missed the taste of chicken.,Angela,Kayla,2,"It was easy for () to become a vegetarian although Kayla couldn't do it. _ really missed the taste of chicken.
option1: ()
option2: Kayla",Angela,Samantha
48,311HQEI8RUUWVQ8ISLLNVJ9U160Z76-2,Hunter was a better baker than Logan so _ made the kitchen a mess when they tried to make an apple pie.,Hunter,Logan,2,"() was a better baker than Logan so _ made the kitchen a mess when they tried to make an apple pie.
option1: ()
option2: Logan",Hunter,Ian
49,3E6L1VR4XWKSSK46O1AOUF581E3F6G-1,Tanya spent more on the children's birthday party than Amy. _ thought a magician was a good use of funds.,Tanya,Amy,1,"Tanya spent more on the children's birthday party than (). _ thought a magician was a good use of funds.
option1: Tanya
option2: ()",Amy,"- Tanya
- I"
50,3I4E7AFQ2KXEZK1E3492KNPEJBRTJ9-1,Judy bought new brushes to paint the etched glasses crack but it didn't fit. The _ was too wide.,brush,crack,1,"Judy bought new brushes to paint the etched glasses () but it didn't fit. The _ was too wide.
option1: brush
option2: ()",crack,glass
51,3I4E7AFQ2KXEZK1E3492KNPEJBRTJ9-2,Judy bought new brushes to paint the etched glasses crack but it didn't fit. The _ was too narrow.,brush,crack,2,"Judy bought new ()es to paint the etched glasses crack but it didn't fit. The _ was too narrow.
option1: ()
option2: crack",brush,brush
52,3ROUCZ907H8RHSMA7YR8Q7OM8ZJOOE-1,I look forward to the Sunday newspaper so I can look at the comics.  This is the only reason I still get the _ in this day and age.,newspaper,comics,1,"I look forward to the Sunday newspaper so I can look at the ().  This is the only reason I still get the _ in this day and age.
option1: newspaper
option2: ()",comics,comics
53,3B9J25CZ25BQC6IT4CNQNEGXMU4CSS-2,Jennifer was more of a morning person than Natalie although _ always went to bed early and got a good night's rest.,Jennifer,Natalie,2,"() was more of a morning person than Natalie although _ always went to bed early and got a good night's rest.
option1: ()
option2: Natalie",Jennifer,Ian
54,3B9J25CZ25BQC6IT4CNQNEGXMU4CSS-1,Jennifer was more of a morning person than Natalie because _ always went to bed early and got a good night's rest.,Jennifer,Natalie,1,"Jennifer was more of a morning person than () because _ always went to bed early and got a good night's rest.
option1: Jennifer
option2: ()",Natalie,Jason
55,3VDI8GSXAFRLAYJPS0D4WE1B8QM8GR-2,"Alcohol is a love of Matthew's, but Ryan can't stand the stuff because _ is a sober alcoholic.",Matthew,Ryan,2,"Alcohol is a love of ()'s, but Ryan can't stand the stuff because _ is a sober alcoholic.
option1: ()
option2: Ryan",Matthew,Ian
56,3QMELQS6Y7P4PZ8MZUMI3270YI46R3-2,Joe brought the horse out to the country quite a distance and gave him food but the _ was too much.,food,distance,2,"Joe brought the horse out to the country quite a distance and gave him () but the _ was too much.
option1: ()
option2: distance",food,water
57,3VZYA8PITOW5CCP2G0HYZ244ZHM050-2,"Randy gave their heart to Brian, and _ soon told them that they should have kept their heart to themselves.",Randy,Brian,2,"() gave their heart to Brian, and _ soon told them that they should have kept their heart to themselves.
option1: ()
option2: Brian",Randy,Someone
58,3TTPFEFXCTIC6GVCJRYOX0HLMD0H69-1,"Nick wanted to play a game on the floor, but Dennis was hesitant because of his knees. _ was disappointed.",Nick,Dennis,1,"Nick wanted to play a game on the floor, but () was hesitant because of his knees. _ was disappointed.
option1: Nick
option2: ()",Dennis,Someone
59,3X0EMNLXER34SC78NAQ1AZNJDNYVP3-1,"Although she was being prosecuted, Monica was welcomed into the sanctuary of the church by Samantha because _ was a sinful criminal.",Monica,Samantha,1,"Although she was being prosecuted, Monica was welcomed into the sanctuary of the church by () because _ was a sinful criminal.
option1: Monica
option2: ()",Samantha,the priest
60,33P2GD6NRP6YZKF85T4PZHACD8RHKW-2,"The battle was less fierce than the great war, because the _ lasted one year.",battle,war,2,"The () was less fierce than the great war, because the _ lasted one year.
option1: ()
option2: war",battle,"The battle was less fierce than the great war because the () lasted one year.
option1: (battle)
option2: war"
61,3511RHPADVC7EVCM20GK0N1OUZVLRL-2,"Laura used too much super glue on Erins hands, so _ needed to get to the doctor to separate their hands.",Laura,Erin,2,"() used too much super glue on Erins hands, so _ needed to get to the doctor to separate their hands.
option1: ()
option2: Erin",Laura,Ian
62,3MXX6RQ9EXJ5YZOT3EPE19N604CP4Y-2,James panicked when his phone fell on the table thinking it will break but the _ is soft.,phone,table,2,"James panicked when his () fell on the table thinking it will break but the _ is soft.
option1: ()
option2: table",phone,phone
63,3MXX6RQ9EXJ5YZOT3EPE19N604CP4Y-1,James panicked when his phone fell on the table thinking it will break but the _ is strong.,phone,table,1,"James panicked when his phone fell on the () thinking it will break but the _ is strong.
option1: phone
option2: ()",table,floor
64,30Z7M1Q8U0YZUW5TQYXUSQEH59Y8AC-2,John cannot touch the cup as it was just brought out of the refrigerator. He wanted some air to blow around it. The _ is very warm.,cup,air,2,"John cannot touch the () as it was just brought out of the refrigerator. He wanted some air to blow around it. The _ is very warm.
option1: ()
option2: air",cup,refrigerator
65,38B7Q9C28G3JRADTLFAWKJJX3XH96U-2,The fireman used several rags to polish the nozzles on the fire hose; when he was done the _ were dirty.,nozzles,rags,2,"The fireman used several rags to polish the () on the fire hose; when he was done the _ were dirty.
option1: ()
option2: rags",nozzles,nozzle
66,3PEG1BH7AEP9EIDFL3ITL8J5ST2BKB-1,"Mary wanted to get another piercing in her ear, but the _ was much too tiny.",ear,piercing,1,"Mary wanted to get another () in her ear, but the _ was much too tiny.
option1: ear
option2: ()",piercing,earlobe
67,3PEG1BH7AEP9EIDFL3ITL8J5ST2BKB-2,"Mary wanted to get another piercing in her ear, but the _ was much too huge.",ear,piercing,2,"Mary wanted to get another piercing in her (), but the _ was much too huge.
option1: ()
option2: piercing",ear,nose
68,3JTPR5MTZSA7P2W6KTRGIMJDDDH5KW-2,Laura just loved the taste of green beans but Felicia hated the taste of them. _ didn't have a second serving.,Laura,Felicia,2,"() just loved the taste of green beans but Felicia hated the taste of them. _ didn't have a second serving.
option1: ()
option2: Felicia",Laura,Nobody
69,3ZQA3IO31D56L0F91WTXEBBDE0WO1Z-1,The bartender cut Carrie off but continued to serve Emily because _ was too drunk.,Carrie,Emily,1,"The bartender cut Carrie off but continued to serve () because _ was too drunk.
option1: Carrie
option2: ()",Emily,The bartender cut Carrie off but continued to serve (Tom) because he was too drunk.
70,338431Z1FLDFKGFJFSWCS45IUHCROF-1,Blaze always wore a t-shirt instead of a shirt because he thought that the _ was stuffy and old fashioned.,shirt,t-shirt,1,"Blaze always wore a () instead of a shirt because he thought that the _ was stuffy and old fashioned.
option1: shirt
option2: ()",t-shirt,toga
71,34KYK9TV2TMMWQPUAA3V4SYOZMASBD-1,"The paint would melt in the sun, so we used a varnish instead, since the _ was susceptible to heat.",paint,varnish,1,"The paint would melt in the sun, so we used a () instead, since the _ was susceptible to heat.
option1: paint
option2: ()",varnish,umbrella
72,3FJ2RVH25Z4V99USYDYTU62LNSF92D-1,"I tried to make mini lamps by using glow sticks in mason jars, but had to get larger jars because the _ were too big.",glow sticks,jars,1,"I tried to make mini lamps by using glow sticks in mason (), but had to get larger () because the _ were too big.
option1: glow sticks
option2: ()",jars,"jars, mason jars"
73,3JHB4BPSFK7C1SWD0OOUQO0O324Q9R-2,Joel always liked to turn the heater up higher than Joseph did for the reason that _ was never cold.,Joel,Joseph,2,"() always liked to turn the heater up higher than Joseph did for the reason that _ was never cold.
option1: ()
option2: Joseph",Joel,Alice
74,3JHB4BPSFK7C1SWD0OOUQO0O324Q9R-1,Joel always liked to turn the heater up higher than Joseph did for the reason that _ was always cold.,Joel,Joseph,1,"Joel always liked to turn the heater up higher than () did for the reason that _ was always cold.
option1: Joel
option2: ()",Joseph,he
75,3H781YYV6VWLITET91ABF50V46HTER-2,The teen found the new hat was no substitute for his cool shirt.  The _ was just cool to wear to school.,hat,shirt,2,"The teen found the new () was no substitute for his cool shirt.  The _ was just cool to wear to school.
option1: ()
option2: shirt",hat,sweater
76,3EPG8DX9LM4NUISTHJ8O61TL127P5A-2,Mary was helping Patricia's daughter put on makeup but  _ watches a lot of makeup tutorials.,Mary,Patricia,2,"() was helping Patricia's daughter put on makeup but  _ watches a lot of makeup tutorials.
option1: ()
option2: Patricia",Mary,Patricia
77,3EPG8DX9LM4NUISTHJ8O61TL127P5A-1,Mary was helping Patricia's daughter put on makeup because _ watches a lot of makeup tutorials.,Mary,Patricia,1,"Mary was helping ()'s daughter put on makeup because _ watches a lot of makeup tutorials.
option1: Mary
option2: ()",Patricia,The correct missing value in option2 is Mary.
78,3GMLHYZ0LEVJUMB2P90FZ6Q4FSKYUA-2,"He wanted to kill time at the house instead of the playground, because everyone at the _ was fun.",playground,house,2,"He wanted to kill time at the house instead of the (), because everyone at the _ was fun.
option1: ()
option2: house",playground,party
79,3XU9MCX6VQQG7YPLCSAFDPQNH9I2RN-1,"Aaron didn't know Dennis had a peanut allergy, so when _ made peanut chicken an ambulance was called.",Aaron,Dennis,1,"Aaron didn't know () had a peanut allergy, so when _ made peanut chicken an ambulance was called.
option1: Aaron
option2: ()",Dennis,Aaron
80,3XU9MCX6VQQG7YPLCSAFDPQNH9I2RN-2,"Aaron didn't know Dennis had a peanut allergy, so when _ ate peanut chicken an ambulance was called.",Aaron,Dennis,2,"() didn't know Dennis had a peanut allergy, so when _ ate peanut chicken an ambulance was called.
option1: ()
option2: Dennis",Aaron,Ian
81,3T8DUCXY0PK4NXNC1QUPNRZJBZBT93-1,"God liked to control the day and the night, but the _ was too bright.",day,night,1,"God liked to control the day and the (), but the _ was too bright.
option1: day
option2: ()",night,sun
82,3N5YJ55YXG153ETQC2ADIPG349ZNAG-2,"Brett asked Joel for advice and guidance about waxing his mustache, and afterwards _ felt burdened.",Brett,Joel,2,"() asked Joel for advice and guidance about waxing his mustache, and afterwards _ felt burdened.
option1: ()
option2: Joel",Brett,Heath
83,3U74KRR67OZPCZR620DU5SU3GJ9NT3-1,The filter in the living room needed to be changed more often than the one in the bedroom because the _ was dirtier.,living room,bedroom,1,"The filter in the living room needed to be changed more often than the one in the () because the _ was dirtier.
option1: living room
option2: ()",bedroom,air conditioner
84,3U74KRR67OZPCZR620DU5SU3GJ9NT3-2,The filter in the living room needed to be changed more often than the one in the bedroom because the _ was cleaner.,living room,bedroom,2,"The filter in the () needed to be changed more often than the one in the bedroom because the _ was cleaner.
option1: ()
option2: bedroom",living room,kitchen
85,36GJS3V78X4PO4EF32MVD2YXHLKJG6-1,Amy went over to the waiting room at the hospital to calm Samantha because _ was placid.,Amy,Samantha,1,"Amy went over to the waiting room at the hospital to calm () because _ was placid.
option1: Amy
option2: ()",Samantha,the patient
86,3GV1I4SEO9NESCE2ACDMPSAS3TP6LJ-2,Megan forgot to buy deodorant at the store so they borrowed Jessica's deodorant and _ never found out.,Megan,Jessica,2,"() forgot to buy deodorant at the store so they borrowed Jessica's deodorant and _ never found out.
option1: ()
option2: Jessica",Megan,Ian
87,3GV1I4SEO9NESCE2ACDMPSAS3TP6LJ-1,Megan forgot to buy deodorant at the store so they borrowed Jessica's deodorant and _ hoped they never found out.,Megan,Jessica,1,"Megan forgot to buy deodorant at the store so they borrowed ()'s deodorant and _ hoped they never found out.
option1: Megan
option2: ()",Jessica,Jane
88,3GV1I4SEOB3TM1D9UAPMHQY0RK6L64-2,"Amy thought she was the mirror image of Natalie , but _ could not be convinced to see the similarity.",Amy,Natalie,2,"() thought she was the mirror image of Natalie , but _ could not be convinced to see the similarity.
option1: ()
option2: Natalie",Amy,She
89,3GV1I4SEOB3TM1D9UAPMHQY0RK6L64-1,"Amy thought she was the mirror image of Natalie , but _ could not persuade her to see the similarity.",Amy,Natalie,1,"Amy thought she was the mirror image of () , but _ could not persuade her to see the similarity.
option1: Amy
option2: ()",Natalie,Amy
90,3G4VVJO6PZEBICEP480UGSOU90WPKV-1,I helped my sister find her gold necklace. She couldn't wear her woven necklace to the ball because the _ was so casual.,woven necklace,ball,1,"I helped my sister find her gold necklace. She couldn't wear her woven necklace to the () because the _ was so casual.
option1: woven necklace
option2: ()",ball,wedding
91,3TC2K6WK9G0VV4BITLSFUA7A3P382Z-2,"Emily never had as much money to spend as Carrie, because _ had a good job.",Emily,Carrie,2,"() never had as much money to spend as Carrie, because _ had a good job.
option1: ()
option2: Carrie",Emily,Ian
92,388CL5C1RL19JQXQQTGQEHNR28WHLZ-1,"The wooden doors at my friends work are worse than the wooden desks at my work, because the _ material is cheaper.",doors,desks,1,"The wooden doors at my friends work are worse than the wooden () at my work, because the _ material is cheaper.
option1: doors
option2: ()",desks,doors
93,388CL5C1RL19JQXQQTGQEHNR28WHLZ-2,"The wooden doors at my friends work are worse than the wooden desks at my work, because the _ material is stronger.",doors,desks,2,"The wooden () at my friends work are worse than the wooden desks at my work, because the _ material is stronger.
option1: ()
option2: desks",doors,chairs
94,3A520CCNWNY198GDJ37US2MUQD6EAI-1,The arrow stuck to the bark but not the stone because the _ was flimsy.,bark,stone,1,"The arrow stuck to the bark but not the () because the _ was flimsy.
option1: bark
option2: ()",stone,arrow
95,3A520CCNWNY198GDJ37US2MUQD6EAI-2,The arrow stuck to the bark but not the stone because the _ was hard.,bark,stone,2,"The arrow stuck to the () but not the stone because the _ was hard.
option1: ()
option2: stone",bark,arrow
96,3UXQ63NLAC0ZSDU4Q16US6KS5DFLB7-1,The leg of the pig body stuck out of the grave where it was buried because the _ is large.,body,grave,1,"The leg of the pig body stuck out of the () where it was buried because the _ is large.
option1: body
option2: ()",grave,ground
97,31JUPBOORPIGQFWXNPMK14USZMI8LH-1,The sheet recovered can easily be hiding between the space in the door. The _ is thin.,sheet,space,1,"The sheet recovered can easily be hiding between the () in the door. The _ is thin.
option1: sheet
option2: ()",space,hinge
98,31JUPBOORPIGQFWXNPMK14USZMI8LH-2,The sheet recovered can easily be hiding between the space in the door. The _ is wide.,sheet,space,2,"The () recovered can easily be hiding between the space in the door. The _ is wide.
option1: ()
option2: space",sheet,door
99,3TFJJUELSHNX771VAX8KWW3TTE5C2M-2,Mike doesn't like the table in his living room as much as the couch. The _ resonates with the other decorations.,table,couch,2,"Mike doesn't like the () in his living room as much as the couch. The _ resonates with the other decorations.
option1: ()
option2: couch",table,rug
100,3X0EMNLXEPNPYN813CE1I1ZBPXVVPD-2,Steven believes they can buy happiness but Craig thinks otherwise as _ is very realistic.,Steven,Craig,2,"() believes they can buy happiness but Craig thinks otherwise as _ is very realistic.
option1: ()
option2: Craig",Steven,Ian
101,3X0EMNLXEPNPYN813CE1I1ZBPXVVPD-1,Steven believes they can buy happiness but Craig thinks otherwise as _ is very materialistic.,Steven,Craig,1,"Steven believes they can buy happiness but () thinks otherwise as _ is very materialistic.
option1: Steven
option2: ()",Craig,Meagan
